waveem,flux
6.905402e+03,2.245918e+00
6.903605e+03,2.263997e+00
6.901807e+03,2.219250e+00
6.900009e+03,2.353762e+00
6.898211e+03,2.373456e+00
6.896413e+03,2.372676e+00
6.894615e+03,2.434114e+00
6.892817e+03,2.350749e+00
6.891019e+03,2.390216e+00
6.889221e+03,2.581730e+00
6.887423e+03,2.213523e+00
6.885625e+03,2.473151e+00
6.883827e+03,2.526262e+00
6.882030e+03,2.396664e+00
6.880232e+03,2.530853e+00
6.878434e+03,2.504629e+00
6.876636e+03,2.546162e+00
6.874838e+03,2.726469e+00
6.873040e+03,2.674598e+00
6.871242e+03,2.834800e+00
6.869444e+03,2.596481e+00
6.867646e+03,2.595895e+00
6.865848e+03,2.707667e+00
6.864050e+03,2.733634e+00
6.862253e+03,2.686868e+00
6.860455e+03,2.753071e+00
6.858657e+03,2.726053e+00
6.856859e+03,2.904113e+00
6.855061e+03,2.592529e+00
6.853263e+03,2.624138e+00
6.851465e+03,2.556836e+00
6.849667e+03,2.462551e+00
6.847869e+03,2.674154e+00
6.846071e+03,2.693545e+00
6.844273e+03,2.896140e+00
6.842476e+03,2.686280e+00
6.840678e+03,2.677663e+00
6.838880e+03,2.819811e+00
6.837082e+03,2.696160e+00
6.835284e+03,2.662636e+00
6.833486e+03,2.786373e+00
6.831688e+03,2.576436e+00
6.829890e+03,2.861082e+00
6.828092e+03,2.698374e+00
6.826294e+03,2.708912e+00
6.824496e+03,2.685571e+00
6.822698e+03,2.723909e+00
6.820901e+03,2.685542e+00
6.819103e+03,2.808184e+00
6.817305e+03,2.589597e+00
6.815507e+03,2.588374e+00
6.813709e+03,2.572354e+00
6.811911e+03,2.647375e+00
6.810113e+03,2.725101e+00
6.808315e+03,2.625496e+00
6.806517e+03,2.530921e+00
6.804719e+03,2.665145e+00
6.802921e+03,2.682127e+00
6.801124e+03,2.612592e+00
6.799326e+03,2.634376e+00
6.797528e+03,2.740373e+00
6.795730e+03,2.640338e+00
6.793932e+03,2.619408e+00
6.792134e+03,2.490918e+00
6.790336e+03,2.683664e+00
6.788538e+03,2.652313e+00
6.786740e+03,2.421130e+00
6.784942e+03,2.641475e+00
6.783144e+03,2.468425e+00
6.781347e+03,2.588270e+00
6.779549e+03,2.530476e+00
6.777751e+03,2.477108e+00
6.775953e+03,2.407903e+00
6.774155e+03,2.566335e+00
6.772357e+03,2.674453e+00
6.770559e+03,2.542649e+00
6.768761e+03,2.495024e+00
6.766963e+03,2.443808e+00
6.765165e+03,2.562662e+00
6.763367e+03,2.717083e+00
6.761569e+03,2.426458e+00
6.759772e+03,2.558616e+00
6.757974e+03,2.591115e+00
6.756176e+03,2.398286e+00
6.754378e+03,2.610879e+00
6.752580e+03,2.551906e+00
6.750782e+03,2.457558e+00
6.748984e+03,2.480710e+00
6.747186e+03,2.539500e+00
6.745388e+03,2.234909e+00
6.743590e+03,2.330533e+00
6.741792e+03,2.435627e+00
6.739995e+03,2.522729e+00
6.738197e+03,2.607838e+00
6.736399e+03,2.679423e+00
6.734601e+03,2.807763e+00
6.732803e+03,2.828892e+00
6.731005e+03,2.874169e+00
6.729207e+03,2.573290e+00
6.727409e+03,2.748929e+00
6.725611e+03,2.653359e+00
6.723813e+03,2.706843e+00
6.722015e+03,2.856581e+00
6.720218e+03,3.006350e+00
6.718420e+03,2.791970e+00
6.716622e+03,2.892032e+00
6.714824e+03,2.846125e+00
6.713026e+03,2.591513e+00
6.711228e+03,2.766394e+00
6.709430e+03,2.784942e+00
6.707632e+03,2.600398e+00
6.705834e+03,2.435196e+00
6.704036e+03,2.561807e+00
6.702238e+03,2.357093e+00
6.700440e+03,2.473749e+00
6.698643e+03,2.453885e+00
6.696845e+03,2.605810e+00
6.695047e+03,2.445623e+00
6.693249e+03,2.404127e+00
6.691451e+03,2.508621e+00
6.689653e+03,2.379882e+00
6.687855e+03,2.515676e+00
6.686057e+03,2.362384e+00
6.684259e+03,2.465181e+00
6.682461e+03,2.291043e+00
6.680663e+03,2.447545e+00
6.678866e+03,2.332116e+00
6.677068e+03,2.466176e+00
6.675270e+03,2.546110e+00
6.673472e+03,2.407350e+00
6.671674e+03,2.383804e+00
6.669876e+03,2.371624e+00
6.668078e+03,2.441117e+00
6.666280e+03,2.367978e+00
6.664482e+03,2.483261e+00
6.662684e+03,2.406819e+00
6.660886e+03,2.242383e+00
6.659089e+03,2.407374e+00
6.657291e+03,2.499890e+00
6.655493e+03,2.428220e+00
6.653695e+03,2.442550e+00
6.651897e+03,2.400274e+00
6.650099e+03,2.341192e+00
6.648301e+03,2.401784e+00
6.646503e+03,2.589612e+00
6.644705e+03,2.286156e+00
6.642907e+03,2.380490e+00
6.641109e+03,2.380285e+00
6.639311e+03,2.269210e+00
6.637514e+03,2.382599e+00
6.635716e+03,2.344494e+00
6.633918e+03,2.312380e+00
6.632120e+03,2.393784e+00
6.630322e+03,2.419935e+00
6.628524e+03,2.316256e+00
6.626726e+03,2.356042e+00
6.624928e+03,2.439204e+00
6.623130e+03,2.365715e+00
6.621332e+03,2.178116e+00
6.619534e+03,2.348043e+00
6.617737e+03,2.204488e+00
6.615939e+03,2.433845e+00
6.614141e+03,2.322197e+00
6.612343e+03,2.177756e+00
6.610545e+03,2.350642e+00
6.608747e+03,2.235385e+00
6.606949e+03,2.086367e+00
6.605151e+03,1.973726e+00
6.603353e+03,2.020707e+00
6.601555e+03,2.117537e+00
6.599757e+03,2.073974e+00
6.597960e+03,2.420161e+00
6.596162e+03,2.295191e+00
6.594364e+03,2.636595e+00
6.592566e+03,2.923144e+00
6.590768e+03,3.433700e+00
6.588970e+03,3.704351e+00
6.587172e+03,3.960563e+00
6.585374e+03,3.830909e+00
6.583576e+03,3.625778e+00
6.581778e+03,3.267313e+00
6.579980e+03,2.972642e+00
6.578182e+03,2.721266e+00
6.576385e+03,2.773240e+00
6.574587e+03,2.600950e+00
6.572789e+03,3.092483e+00
6.570991e+03,3.650218e+00
6.569193e+03,4.139895e+00
6.567395e+03,4.650140e+00
6.565597e+03,4.877972e+00
6.563799e+03,4.443504e+00
6.562001e+03,4.230406e+00
6.560203e+03,3.420906e+00
6.558405e+03,3.068421e+00
6.556608e+03,3.103272e+00
6.554810e+03,2.950145e+00
6.553012e+03,3.116490e+00
6.551214e+03,2.829216e+00
6.549416e+03,2.924192e+00
6.547618e+03,3.049315e+00
6.545820e+03,2.790271e+00
6.544022e+03,2.550750e+00
6.542224e+03,2.511670e+00
6.540426e+03,2.591887e+00
6.538628e+03,2.549836e+00
6.536831e+03,2.641710e+00
6.535033e+03,2.597013e+00
6.533235e+03,2.515930e+00
6.531437e+03,2.513133e+00
6.529639e+03,2.538055e+00
6.527841e+03,2.525895e+00
6.526043e+03,2.482817e+00
6.524245e+03,2.486943e+00
6.522447e+03,2.498397e+00
6.520649e+03,2.532187e+00
6.518851e+03,2.551366e+00
6.517053e+03,2.495731e+00
6.515256e+03,2.381277e+00
6.513458e+03,2.400681e+00
6.511660e+03,2.447638e+00
6.509862e+03,2.568349e+00
6.508064e+03,2.451589e+00
6.506266e+03,2.415546e+00
6.504468e+03,2.325746e+00
6.502670e+03,2.368667e+00
6.500872e+03,2.384239e+00
6.499074e+03,2.491757e+00
6.497276e+03,2.391287e+00
6.495479e+03,2.482314e+00
6.493681e+03,2.453517e+00
6.491883e+03,2.418285e+00
6.490085e+03,2.450944e+00
6.488287e+03,2.459325e+00
6.486489e+03,2.422593e+00
6.484691e+03,2.368542e+00
6.482893e+03,2.463745e+00
6.481095e+03,2.569954e+00
6.479297e+03,2.490993e+00
6.477499e+03,2.429389e+00
6.475701e+03,2.512239e+00
6.473904e+03,2.691946e+00
6.472106e+03,2.353204e+00
6.470308e+03,2.489289e+00
6.468510e+03,2.554620e+00
6.466712e+03,2.352498e+00
6.464914e+03,2.525605e+00
6.463116e+03,2.514191e+00
6.461318e+03,2.369256e+00
6.459520e+03,2.209339e+00
6.457722e+03,2.257745e+00
6.455924e+03,2.572239e+00
6.454127e+03,2.523596e+00
6.452329e+03,2.348728e+00
6.450531e+03,2.506322e+00
6.448733e+03,2.476075e+00
6.446935e+03,2.466005e+00
6.445137e+03,2.375410e+00
6.443339e+03,2.494473e+00
6.441541e+03,2.382091e+00
6.439743e+03,2.372201e+00
6.437945e+03,2.467721e+00
6.436147e+03,2.384812e+00
6.434350e+03,2.514844e+00
6.432552e+03,2.405068e+00
6.430754e+03,2.354264e+00
6.428956e+03,2.548078e+00
6.427158e+03,2.525056e+00
6.425360e+03,2.324551e+00
6.423562e+03,2.325475e+00
6.421764e+03,2.335599e+00
6.419966e+03,2.394301e+00
6.418168e+03,2.462943e+00
6.416370e+03,2.431540e+00
6.414572e+03,2.378725e+00
6.412775e+03,2.397461e+00
6.410977e+03,2.377430e+00
6.409179e+03,2.465854e+00
6.407381e+03,2.312439e+00
6.405583e+03,2.547969e+00
6.403785e+03,2.314928e+00
6.401987e+03,2.417621e+00
6.400189e+03,2.534004e+00
6.398391e+03,2.413982e+00
6.396593e+03,2.496532e+00
6.394795e+03,2.473725e+00
6.392998e+03,2.439156e+00
6.391200e+03,2.403717e+00
6.389402e+03,2.457615e+00
6.387604e+03,2.418172e+00
6.385806e+03,2.393246e+00
6.384008e+03,2.432701e+00
6.382210e+03,2.447555e+00
6.380412e+03,2.476942e+00
6.378614e+03,2.486244e+00
6.376816e+03,2.336690e+00
6.375018e+03,2.327599e+00
6.373221e+03,2.343788e+00
6.371423e+03,2.344265e+00
6.369625e+03,2.314133e+00
6.367827e+03,2.285305e+00
6.366029e+03,2.337260e+00
6.364231e+03,2.348486e+00
6.362433e+03,2.187077e+00
6.360635e+03,2.323496e+00
6.358837e+03,2.311722e+00
6.357039e+03,2.337644e+00
6.355241e+03,2.418996e+00
6.353443e+03,2.343071e+00
6.351646e+03,2.311175e+00
6.349848e+03,2.438571e+00
6.348050e+03,2.280169e+00
6.346252e+03,2.311483e+00
6.344454e+03,2.414772e+00
6.342656e+03,2.250328e+00
6.340858e+03,2.304995e+00
6.339060e+03,2.285328e+00
6.337262e+03,2.332646e+00
6.335464e+03,2.361622e+00
6.333666e+03,2.306697e+00
6.331869e+03,2.384023e+00
6.330071e+03,2.312774e+00
6.328273e+03,2.307543e+00
6.326475e+03,2.355175e+00
6.324677e+03,2.318828e+00
6.322879e+03,2.368168e+00
6.321081e+03,2.268632e+00
6.319283e+03,2.207524e+00
6.317485e+03,2.330508e+00
6.315687e+03,2.244777e+00
6.313889e+03,2.329119e+00
6.312092e+03,2.340342e+00
6.310294e+03,2.419443e+00
6.308496e+03,3.200806e+00
6.306698e+03,4.810868e+00
6.304900e+03,2.302919e+00
6.303102e+03,2.343270e+00
6.301304e+03,2.317989e+00
6.299506e+03,2.356465e+00
6.297708e+03,2.217732e+00
6.295910e+03,2.313750e+00
6.294112e+03,2.214666e+00
6.292314e+03,2.280466e+00
6.290517e+03,2.253000e+00
